date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:53	46663/46663	---M-Z	200	added ('OK')	application/javascript	etag:%22b647-602b6f86-cd47ffe1caab2cd9;gz%22	https://comfycool.in/js/bootstrap.min.js	D:/comfycool/comfycool.in/js/bootstrap.min.js	(from https://comfycool.in/)
14:45:53	845/845	---M-Z	200	added ('OK')	application/javascript	etag:%2234d-602b6f86-c0e4af862b52d6d1;gz%22	https://comfycool.in/js/color-switcher.js	D:/comfycool/comfycool.in/js/color-switcher.js	(from https://comfycool.in/)
14:45:53	4774/4774	---M-Z	200	added ('OK')	application/javascript	etag:%2212a6-602b6f86-6305b0bbe3b791c0;gz%22	https://comfycool.in/js/jquery.easing.js	D:/comfycool/comfycool.in/js/jquery.easing.js	(from https://comfycool.in/)
14:45:53	8071/8071	---M-Z	200	added ('OK')	application/javascript	etag:%221f87-602b6f86-6081da856bd40639;gz%22	https://comfycool.in/js/jquery-waypoints.js	D:/comfycool/comfycool.in/js/jquery-waypoints.js	(from https://comfycool.in/)
14:45:53	156/156	---M--	200	added ('OK')	application/javascript	etag:%229c-602b6f86-2dcc6c8574122386;;;%22	https://comfycool.in/js/jquery-validate.js	D:/comfycool/comfycool.in/js/jquery-validate.js	(from https://comfycool.in/)
14:45:54	82221/82221	---M-Z	200	added ('OK')	application/javascript	etag:%221412d-602b6f8a-5ae6bdaf05d40bc3;gz%22	https://comfycool.in/js/owl.carousel.js	D:/comfycool/comfycool.in/js/owl.carousel.js	(from https://comfycool.in/)
14:45:54	21449/21449	---M-Z	200	added ('OK')	application/javascript	etag:%2253c9-602b6f88-82f37706f3dc93b8;gz%22	https://comfycool.in/js/jquery.prettyPhoto.js	D:/comfycool/comfycool.in/js/jquery.prettyPhoto.js	(from https://comfycool.in/)
14:45:54	3096/3096	---M-Z	200	added ('OK')	application/javascript	etag:%22c18-602b6f88-be5f22ca9d55331a;gz%22	https://comfycool.in/js/numinate.min6959.js?ver=4.9.3	D:/comfycool/comfycool.in/js/numinate.min69596959.js	(from https://comfycool.in/)
14:45:54	16763/16763	---M-Z	200	added ('OK')	application/javascript	etag:%22417b-607fe080-43920e587eba85c5;gz%22	https://comfycool.in/js/main.js	D:/comfycool/comfycool.in/js/main.js	(from https://comfycool.in/)
14:45:55	110560/110560	---M-Z	200	added ('OK')	application/javascript	etag:%221afe0-60814a20-5904b13d432cfb4d;gz%22	https://comfycool.in/revolution/js/jquery.themepunch.tools.min.js	D:/comfycool/comfycool.in/revolution/js/jquery.themepunch.tools.min.js	(from https://comfycool.in/)
14:45:55	64949/64949	---M-Z	200	added ('OK')	application/javascript	etag:%22fdb5-602b6ffe-32a839b95ad6dfe1;gz%22	https://comfycool.in/revolution/js/jquery.themepunch.revolution.min.js	D:/comfycool/comfycool.in/revolution/js/jquery.themepunch.revolution.min.js	(from https://comfycool.in/)
14:45:55	4928/4928	---M-Z	200	added ('OK')	application/javascript	etag:%221340-602b6ffe-40084073fa706234;gz%22	https://comfycool.in/revolution/js/slider.js	D:/comfycool/comfycool.in/revolution/js/slider.js	(from https://comfycool.in/)
14:45:55	8329/8329	---M-Z	200	added ('OK')	application/javascript	etag:%222089-602b701a-f06b436528137443;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.actions.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.actions.min.js	(from https://comfycool.in/)
14:45:56	6281/6281	---M-Z	200	added ('OK')	application/javascript	etag:%221889-602b701c-4bd96c38c062a73;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.carousel.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.carousel.min.js	(from https://comfycool.in/)
14:45:56	3598/3598	---M-Z	200	added ('OK')	application/javascript	etag:%22e0e-602b701c-c7a80646ffc8fcde;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.kenburn.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.kenburn.min.js	(from https://comfycool.in/)
14:45:56	55809/55809	---M-Z	200	added ('OK')	application/javascript	etag:%22da01-602b701c-5467a39b024fdead;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.layeranimation.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from https://comfycool.in/)
14:45:57	26103/26103	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7-602b701c-8cb15501e15874b;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.migration.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.migration.min.js	(from https://comfycool.in/)
14:45:57	17158/17158	---M-Z	200	added ('OK')	application/javascript	etag:%224306-602b701e-6e5a93a4e1759622;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.navigation.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.navigation.min.js	(from https://comfycool.in/)
14:45:57	10931/10931	---M-Z	200	added ('OK')	application/javascript	etag:%222ab3-602b701e-d3d43d01d576f0c9;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.parallax.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.parallax.min.js	(from https://comfycool.in/)
14:45:57	29070/29070	---M-Z	200	added ('OK')	application/javascript	etag:%22718e-602b701e-45cd12f78874f1dd;gz%22	https://comfycool.in/revolution/js/extensions/revolution.extension.slideanims.min.js	D:/comfycool/comfycool.in/revolution/js/extensions/revolution.extension.slideanims.min.js	(from https://comfycool.in/)
14:45:58	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-602b6f58-bef9917f36cb706d;gz%22	https://comfycool.in/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	D:/comfycool/comfycool.in/fonts/fontawesome-webfont3e6e3e6e.eot	(from https://comfycool.in/css/font-awesome.css)
14:45:58	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-602b6f58-6bea7b8a98f4c52c;gz%22	https://comfycool.in/fonts/fontawesome-webfontd41d.eot?	D:/comfycool/comfycool.in/fonts/fontawesome-webfontd41dd41d.eot	(from https://comfycool.in/css/font-awesome.css)
14:45:58	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-602b6f5c-e5b088fefe1201a1;;;%22	https://comfycool.in/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0	D:/comfycool/comfycool.in/fonts/fontawesome-webfont3e6e3e6e.woff2	(from https://comfycool.in/css/font-awesome.css)
14:45:59	98024/98024	---M--	200	added ('OK')	application/x-font-woff	etag:%2217ee8-602b6f5a-6ae919578818d559;;;%22	https://comfycool.in/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	D:/comfycool/comfycool.in/fonts/fontawesome-webfont3e6e3e6e.woff	(from https://comfycool.in/css/font-awesome.css)
14:45:59	165548/165548	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22286ac-602b6f5a-cdba4e6102fbc380;gz%22	https://comfycool.in/fonts/fontawesome-webfont3e6e.ttf?v=4.7.0	D:/comfycool/comfycool.in/fonts/fontawesome-webfont3e6e3e6e.ttf	(from https://comfycool.in/css/font-awesome.css)
14:45:59	447050/447050	---M-Z	200	added ('OK')	image/svg+xml	etag:%226d24a-602b6f5a-34cd7f5d067c7913;gz%22	https://comfycool.in/fonts/fontawesome-webfont3e6e.svg?v=4.7.0	D:/comfycool/comfycool.in/fonts/fontawesome-webfont3e6e3e6e.svg	(from https://comfycool.in/css/font-awesome.css)
14:45:59	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-602b6f5c-450873f19f88b8c9;gz%22	https://comfycool.in/fonts/themify9f24.eot?-fvbane	D:/comfycool/comfycool.in/fonts/themify9f249f24.eot	(from https://comfycool.in/css/themify-icons.css)
14:46:00	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-602b6f5c-a938b112369eb509;gz%22	https://comfycool.in/fonts/themifyd41d.eot?	D:/comfycool/comfycool.in/fonts/themifyd41dd41d.eot	(from https://comfycool.in/css/themify-icons.css)
14:46:00	56108/56108	---M--	200	added ('OK')	application/x-font-woff	etag:%22db2c-602b6f5e-b3b9fd2facbe65dc;;;%22	https://comfycool.in/fonts/themify9f24.woff?-fvbane	D:/comfycool/comfycool.in/fonts/themify9f249f24.woff	(from https://comfycool.in/css/themify-icons.css)
14:46:00	78584/78584	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22132f8-602b6f5e-197b28e9ce464fd2;gz%22	https://comfycool.in/fonts/themify9f24.ttf?-fvbane	D:/comfycool/comfycool.in/fonts/themify9f249f24.ttf	(from https://comfycool.in/css/themify-icons.css)
14:46:00	234630/234630	---M-Z	200	added ('OK')	image/svg+xml	etag:%2239486-602b6f5e-d33cfa831c07120e;gz%22	https://comfycool.in/fonts/themify9f24.svg?-fvbane	D:/comfycool/comfycool.in/fonts/themify9f249f24.svg	(from https://comfycool.in/css/themify-icons.css)
14:46:01	37754/37754	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22937a-602b6f54-69d2f84d8b56274c;gz%22	https://comfycool.in/fonts/Flaticon.eot	D:/comfycool/comfycool.in/fonts/Flaticon.eot	(from https://comfycool.in/css/flaticon.css)
14:46:01	37754/37754	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22937a-602b6f54-1bd8c94f38bfdbee;gz%22	https://comfycool.in/fonts/Flaticond41d.eot?	D:/comfycool/comfycool.in/fonts/Flaticond41dd41d.eot	(from https://comfycool.in/css/flaticon.css)
14:46:01	20652/20652	---M--	200	added ('OK')	font/woff2	etag:%2250ac-602b6f58-d46a0a1cb21add1a;;;%22	https://comfycool.in/fonts/Flaticon.woff2	D:/comfycool/comfycool.in/fonts/Flaticon.woff2	(from https://comfycool.in/css/flaticon.css)
14:46:01	24232/24232	---M--	200	added ('OK')	application/x-font-woff	etag:%225ea8-602b6f56-3f8b1d17d98a15b6;;;%22	https://comfycool.in/fonts/Flaticon.woff	D:/comfycool/comfycool.in/fonts/Flaticon.woff	(from https://comfycool.in/css/flaticon.css)
14:46:01	37576/37576	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2292c8-602b6f56-8c16364dee941153;gz%22	https://comfycool.in/fonts/Flaticon.ttf	D:/comfycool/comfycool.in/fonts/Flaticon.ttf	(from https://comfycool.in/css/flaticon.css)
14:46:02	265635/265635	---M-Z	200	added ('OK')	image/svg+xml	etag:%2240da3-607fe662-456f5a3314b42253;gz%22	https://comfycool.in/fonts/Flaticon.svg	D:/comfycool/comfycool.in/fonts/Flaticon.svg	(from https://comfycool.in/css/flaticon.css)
14:46:02	12136/12136	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-602b7018-bf45ecf74972be8a;gz%22	https://comfycool.in/revolution/fonts/revicons/revicons90c690c6.eot?5510888	D:/comfycool/comfycool.in/revolution/fonts/revicons/revicons90c690c690c6.eot	(from https://comfycool.in/revolution/css/settings.css)
14:46:02	7536/7536	---M--	200	added ('OK')	application/x-font-woff	etag:%221d70-602b7018-ae4faacbb76824fb;;;%22	https://comfycool.in/revolution/fonts/revicons/revicons90c690c6.woff?5510888	D:/comfycool/comfycool.in/revolution/fonts/revicons/revicons90c690c690c6.woff	(from https://comfycool.in/revolution/css/settings.css)
14:46:02	11968/11968	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222ec0-602b7018-b9ef745a839812fd;gz%22	https://comfycool.in/revolution/fonts/revicons/revicons90c690c6.ttf?5510888	D:/comfycool/comfycool.in/revolution/fonts/revicons/revicons90c690c690c6.ttf	(from https://comfycool.in/revolution/css/settings.css)
